name,ab10000-100,ab10000-1000,jmeter1
server_name_in_redirect,"(6848.17, 6608.07)","(5693.61, 5579.33)","(2992.85, 3024.12)"
server_names_hash_bucket_size,"(6663.44, 6725.46, 6933.31)","(5591.08, 5589.55, 5590.18)","(3060.63, 3023.05, 3024.87)"
server_names_hash_max_size,"(6682.06, 6903.02, 6386.73)","(5581.78, 5583.72, 5590.93)","(3041.68, 3033.99, 3041.15)"
server_tokens,"(6992.89, 6415.87, 6496.19, 6873.81, 6723.64, 6833.75)","(5327.88, 5518.71, 5369.25, 5608.54, 5825.23, 5769.96)","(2943.34, 3100.39, 3017.99, 3071.91, 3010.93, 2996.32)"
subrequest_output_buffer_size,"(6890.39, 6484.98, 6512.17)","(5844.40, 5554.97, 5464.32)","(3147.97, 2962.68, 3126.40)"
tcp_nodelay,"(6759.96, 7000.77)","(5636.91, 5588.46)","(3046.83, 3036.47)"
tcp_nopush,"(8049.61, 6669.67)","(5729.77, 5649.32)","(3084.08, 3052.25)"
try_files,"(6706.23, 6531.70, 6527.03)","(5552.47, 5614.96, 5588.33)","(3041.59, 3033.40, 3039.58)"
types,"(6799.71, 6991.80, 6440.67)","(5739.50, 5640.04, 5542.69)","(3008.00, 3034.93, 3066.14)"
types_hash_bucket_size,"(6643.79, 6413.27, 6505.85)","(5627.97, 5585.97, 5611.61)","(3012.44, 3060.19, 3019.41)"
types_hash_max_size,"(6517.75, 6676.95, 6709.51)","(5437.47, 5482.88, 5446.23)","(3313.00, 3241.28, 3003.55)"
underscores_in_headers,"(6793.66, 6450.60)","(5775.69, 5545.71)","(3123.19, 3040.95)"
variables_hash_bucket_size,"(6699.90, 6460.98, 7022.25)","(5586.07, 5587.56, 5591.87)","(3033.84, 3037.47, 3040.52)"
variables_hash_max_size,"(6432.60, 6870.00, 6979.17)","(5728.36, 5527.79, 5581.16)","(3185.16, 3171.30, 3129.83)"
