name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
yarn.timeline-service.app-collector.linger-period.ms,"(357.00, 373.00, 362.00)","(263227.00, 261376.00, 259167.00)","(400.00, 380.00, 385.00)"
yarn.timeline-service.hbase.coprocessor.app-final-value-retention-milliseconds,"(nan, nan, 'nan')","(265694.00, 261335.00, 256883.00)","(449.00, 362.00, 386.00)"
yarn.timeline-service.hbase.coprocessor.jar.hdfs.location,"(378.00, 370.00, 369.00)","(260233.00, 259831.00, 257737.00)","(405.00, 400.00, 386.00)"
yarn.timeline-service.hbase-schema.prefix,"(356.00, 370.00, 388.00)","(249997.00, 260047.00, 264116.00)","(402.00, 391.00, 386.00)"
yarn.timeline-service.hbase.configuration.file,"(379.00, 371.00, 370.00)","(255607.00, 260220.00, 256454.00)","(393.00, 386.00, 386.00)"
yarn.timeline-service.flowname.max-size,"(372.00, 373.00, 373.00)","(258995.00, 258331.00, 258676.00)","(375.00, 389.00, 401.00)"
yarn.sharedcache.admin.thread-count,"(384.00, 371.00, 370.00)","(214401.00, 299726.00, 256360.00)","(390.00, 386.00, 387.00)"
yarn.sharedcache.checksum.algo.impl,"(384.00, 378.00, 379.00)","(255854.00, 259488.00, 260168.00)","(397.00, 395.00, 396.00)"
yarn.sharedcache.nm.uploader.replication.factor,"(378.00, 370.00, 376.00)","(256531.00, 260451.00, 259914.00)","(397.00, 388.00, 393.00)"
security.applicationhistory.protocol.acl,"(377.00, 371.00, 371.00)","(265095.00, 259543.00, 259070.00)","(393.00, 390.00, 385.00)"
yarn.is.minicluster,"(378.00, 375.00)","(268541.00, 255535.00)","(372.00, 403.00)"
yarn.minicluster.control-resource-monitoring,"(382.00, 370.00)","(267177.00, 260926.00)","(399.00, 380.00)"
yarn.minicluster.fixed.ports,"(389.00, 359.00)","(248945.00, 252928.00)","(385.00, 386.00)"
yarn.minicluster.use-rpc,"(375.00, 371.00)","(270303.00, 265162.00)","(387.00, 389.00)"
yarn.minicluster.yarn.nodemanager.resource.memory-mb,"(391.00, 386.00, 374.00)","(264480.00, 262398.00, 261103.00)","(374.00, 400.00, 385.00)"
yarn.node-labels.fs-store.root-dir,"(366.00, 381.00, 368.00)","(267846.00, 260092.00, 251518.00)","(371.00, 387.00, 384.00)"
yarn.node-labels.configuration-type,"(364.00, 368.00, 375.00)","(257402.00, 259251.00, 258456.00)","(398.00, 382.00, 383.00)"
yarn.nodemanager.node-labels.resync-interval-ms,"(372.00, 374.00, 373.00)","(257367.00, 258116.00, 258964.00)","(385.00, 388.00, 387.00)"
yarn.nodemanager.node-labels.provider.configured-node-partition,"(374.00, 372.00, 373.00)","(269437.00, 253478.00, 266821.00)","(396.00, 383.00, 385.00)"
yarn.resourcemanager.node-labels.provider,"(382.00, 379.00, 376.00)","(263027.00, 256061.00, 262169.00)","(387.00, 389.00, 389.00)"
yarn.resourcemanager.node-labels.provider.fetch-interval-ms,"(360.00, 380.00, 364.00)","(258550.00, 258601.00, 258592.00)","(390.00, 388.00, 387.00)"
yarn.nodemanager.node-attributes.provider,"(378.00, 369.00, 377.00)","(258650.00, 258642.00, 258635.00)","(402.00, 379.00, 384.00)"
yarn.nodemanager.node-attributes.provider.script.path,"(366.00, 373.00, 374.00)","(263303.00, 257829.00, 254509.00)","(387.00, 387.00, 388.00)"
yarn.nodemanager.node-attributes.provider.script.opts,"(372.00, 374.00, 372.00)","(267136.00, 263284.00, 262018.00)","(389.00, 388.00, 388.00)"
yarn.nodemanager.node-attributes.provider.fetch-interval-ms,"(388.00, 366.00, 369.00)","(256093.00, 257254.00, 257808.00)","(402.00, 382.00, 394.00)"
yarn.nodemanager.node-attributes.provider.fetch-timeout-ms,"(357.00, 373.00, 385.00)","(268865.00, 264581.00, 249389.00)","(404.00, 398.00, 386.00)"
yarn.nodemanager.node-attributes.provider.configured-node-attributes,"(380.00, 375.00, 378.00)","(269498.00, 252589.00, 262620.00)","(405.00, 382.00, 392.00)"
yarn.nodemanager.node-attributes.resync-interval-ms,"(371.00, 371.00, 375.00)","(257276.00, 258556.00, 258548.00)","(380.00, 390.00, 394.00)"
yarn.resourcemanager.nodemanager-graceful-decommission-timeout-secs,"(358.00, 371.00, 359.00)","(245951.00, 259593.00, 253850.00)","(403.00, 397.00, 385.00)"
yarn.resourcemanager.decommissioning-nodes-watcher.poll-interval-secs,"(381.00, 378.00, 366.00)","(254294.00, 260709.00, 256288.00)","(378.00, 384.00, 386.00)"
yarn.http.rmwebapp.external.classes,"(261.00, 421.00, 357.00)","(280899.00, 248605.00, 262049.00)","(420.00, 375.00, 373.00)"
yarn.http.rmwebapp.scheduler.page.class,"(371.00, 371.00, 372.00)","(253418.00, 257696.00, 258602.00)","(406.00, 387.00, 379.00)"
yarn.http.rmwebapp.custom.unwrapped.dao.classes,"(377.00, 373.00, 377.00)","(257330.00, 259504.00, 259678.00)","(385.00, 389.00, 388.00)"
yarn.nodemanager.node-labels.provider.script.path,"(377.00, 372.00, 376.00)","(261469.00, 258911.00, 259354.00)","(391.00, 389.00, 389.00)"
yarn.nodemanager.node-labels.provider.script.opts,"(374.00, 373.00, 374.00)","(249357.00, 258606.00, 265058.00)","(381.00, 392.00, 387.00)"
yarn.federation.enabled,"(380.00, 374.00)","(269386.00, 250321.00)","(403.00, 380.00)"
yarn.federation.subcluster-resolver.class,"(391.00, 373.00, 368.00)","(250511.00, 265176.00, 265546.00)","(383.00, 388.00, 391.00)"
yarn.federation.state-store.class,"(392.00, 381.00, 383.00)","(257644.00, 258436.00, 257915.00)","(379.00, 391.00, 388.00)"
yarn.federation.registry.base-dir,"(383.00, 380.00, 378.00)","(258747.00, 258436.00, 258524.00)","(393.00, 391.00, 386.00)"
yarn.registry.class,"(379.00, 368.00, 379.00)","(259319.00, 259064.00, 257906.00)","(400.00, 383.00, 392.00)"
yarn.log.server.url,"(373.00, 373.00, 374.00)","(267354.00, 267066.00, 252611.00)","(391.00, 386.00, 390.00)"
yarn.log.server.web-service.url,"(356.00, 364.00, 360.00)","(259943.00, 259579.00, 258611.00)","(373.00, 391.00, 391.00)"
yarn.tracking.url.generator,"(364.00, 372.00, 380.00)","(267984.00, 254196.00, 254755.00)","(378.00, 380.00, 393.00)"
yarn.authorization-provider,"(382.00, 377.00, 378.00)","(270511.00, 269031.00, 255562.00)","(374.00, 382.00, 383.00)"
yarn.nodemanager.log-aggregation.roll-monitoring-interval-seconds,"(364.00, 364.00, 366.00)","(252099.00, 254571.00, 264446.00)","(404.00, 378.00, 383.00)"
yarn.nodemanager.log-aggregation.roll-monitoring-interval-seconds.min,"(367.00, 368.00, 372.00)","(253683.00, 262927.00, 254274.00)","(382.00, 386.00, 383.00)"
yarn.nodemanager.log-aggregation.num-log-files-per-app,"(386.00, 369.00, 378.00)","(247930.00, 253582.00, 259482.00)","(390.00, 387.00, 389.00)"
yarn.intermediate-data-encryption.enable,"(377.00, 374.00)","(250034.00, 259649.00)","(390.00, 387.00)"
yarn.nodemanager.webapp.cross-origin.enabled,"(373.00, 373.00)","(268685.00, 261328.00)","(374.00, 400.00)"
yarn.nodemanager.log-aggregation.policy.class,"(359.00, 360.00, 366.00)","(264243.00, 258155.00, 261945.00)","(390.00, 388.00, 390.00)"
yarn.nodemanager.log-aggregation.policy.parameters,"(360.00, 386.00, 373.00)","(263595.00, 261815.00, 257170.00)","(398.00, 397.00, 388.00)"
yarn.resourcemanager.nm-container-queuing.load-comparator,"(364.00, 369.00, 366.00)","(266419.00, 252046.00, 265896.00)","(388.00, 388.00, 388.00)"
yarn.resourcemanager.nm-container-queuing.queue-limit-stdev,"(377.00, 372.00, 373.00)","(267928.00, 251631.00, 258499.00)","(405.00, 377.00, 372.00)"
yarn.nodemanager.container.stderr.pattern,"(371.00, 373.00, 372.00)","(262904.00, 256645.00, 257637.00)","(376.00, 377.00, 383.00)"
yarn.node-labels.fs-store.impl.class,"(376.00, 376.00, 376.00)","(253665.00, 256222.00, 254491.00)","(398.00, 389.00, 388.00)"
yarn.resourcemanager.webapp.rest-csrf.custom-header,"(386.00, 370.00, 367.00)","(261233.00, 258059.00, 258191.00)","(403.00, 395.00, 375.00)"
yarn.resourcemanager.webapp.rest-csrf.methods-to-ignore,"(387.00, 375.00, 376.00)","(262049.00, 260551.00, 260748.00)","(382.00, 391.00, 391.00)"
yarn.nodemanager.webapp.rest-csrf.enabled,"(387.00, 368.00)","(247866.00, 265717.00)","(384.00, 388.00)"
yarn.nodemanager.webapp.rest-csrf.custom-header,"(375.00, 373.00, 373.00)","(250603.00, 264847.00, 259658.00)","(405.00, 397.00, 398.00)"
yarn.nodemanager.webapp.rest-csrf.methods-to-ignore,"(381.00, 374.00, 380.00)","(265472.00, 263042.00, 256860.00)","(379.00, 390.00, 389.00)"
yarn.nodemanager.disk-validator,"(357.00, 364.00, 363.00)","(258845.00, 258833.00, 258345.00)","(396.00, 392.00, 391.00)"
yarn.timeline-service.webapp.rest-csrf.enabled,"(391.00, 368.00)","(267587.00, 251633.00)","(378.00, 380.00)"
yarn.timeline-service.webapp.rest-csrf.custom-header,"(381.00, 367.00, 378.00)","(262649.00, 258303.00, 256671.00)","(376.00, 400.00, 397.00)"
yarn.timeline-service.webapp.rest-csrf.methods-to-ignore,"(381.00, 379.00, 366.00)","(251667.00, 264015.00, 255071.00)","(386.00, 389.00, 388.00)"
yarn.resourcemanager.webapp.xfs-filter.xframe-options,"(358.00, 366.00, 367.00)","(251003.00, 258297.00, 257059.00)","(377.00, 392.00, 386.00)"
yarn.nodemanager.webapp.xfs-filter.xframe-options,"(384.00, 380.00, 369.00)","(253878.00, 260924.00, 262804.00)","(370.00, 385.00, 406.00)"
yarn.timeline-service.webapp.xfs-filter.xframe-options,"(366.00, 368.00, 379.00)","(254292.00, 261167.00, 257216.00)","(375.00, 383.00, 378.00)"
yarn.app.attempt.diagnostics.limit.kc,"(382.00, 379.00, 371.00)","(268666.00, 263710.00, 265254.00)","(385.00, 389.00, 391.00)"
yarn.resource-types,"(383.00, 366.00, 377.00)","(260487.00, 259643.00, 257316.00)","(398.00, 378.00, 385.00)"
yarn.scheduler.configuration.mutation.acl-policy.class,"(359.00, 382.00, 386.00)","(257341.00, 259545.00, 259808.00)","(369.00, 372.00, 384.00)"
yarn.scheduler.configuration.leveldb-store.path,"(360.00, 369.00, 370.00)","(248787.00, 257525.00, 262005.00)","(374.00, 376.00, 381.00)"
yarn.scheduler.configuration.fs.path,"(370.00, 371.00, 376.00)","(256702.00, 258024.00, 258158.00)","(389.00, 387.00, 389.00)"
yarn.nodemanager.resource-plugins.gpu.docker-plugin,"(388.00, 384.00, 380.00)","(254757.00, 260258.00, 261045.00)","(392.00, 386.00, 389.00)"
yarn.nodemanager.resource-plugins.gpu.docker-plugin.nvidia-docker-v1.endpoint,"(357.00, 377.00, 376.00)","(250679.00, 259759.00, 250726.00)","(385.00, 389.00, 387.00)"
yarn.nodemanager.resource-plugins.fpga.vendor-plugin.class,"(378.00, 370.00, 370.00)","(246117.00, 261408.00, 251241.00)","(392.00, 385.00, 389.00)"
yarn.nodemanager.resource-plugins.fpga.allowed-fpga-devices,"(366.00, 370.00, 377.00)","(270201.00, 262990.00, 268077.00)","(384.00, 386.00, 389.00)"
yarn.nodemanager.resource-plugins.fpga.device-discovery-script,"(374.00, 374.00, 374.00)","(247141.00, 269768.00, 250176.00)","(381.00, 393.00, 387.00)"
yarn.nodemanager.resource-plugins.fpga.available-devices,"(365.00, 380.00, 366.00)","(268588.00, 251216.00, 265738.00)","(371.00, 401.00, 395.00)"
yarn.timeline-service.reader.webapp.address,"(375.00, 375.00, 374.00)","(257093.00, 259129.00, 257179.00)","(383.00, 386.00, 392.00)"
yarn.timeline-service.reader.webapp.https.address,"(390.00, 383.00, 369.00)","(263321.00, 257296.00, 256031.00)","(385.00, 388.00, 385.00)"
yarn.timeline-service.reader.bind-host,"(356.00, 371.00, 374.00)","(249261.00, 250404.00, 255547.00)","(374.00, 378.00, 393.00)"
yarn.nodemanager.numa-awareness.enabled,"(376.00, 372.00)","(259478.00, 259376.00)","(378.00, 389.00)"
yarn.nodemanager.numa-awareness.node-ids,"(369.00, 370.00, 376.00)","(259448.00, 258473.00, 258449.00)","(386.00, 387.00, 387.00)"
yarn.nodemanager.numa-awareness.numactl.cmd,"(380.00, 376.00, 367.00)","(263958.00, 256680.00, 256655.00)","(370.00, 374.00, 396.00)"
yarn.nodemanager.elastic-memory-control.enabled,"(378.00, 371.00)","(262669.00, 255666.00)","(385.00, 385.00)"
yarn.nodemanager.elastic-memory-control.oom-handler,"(370.00, 374.00, 375.00)","(258855.00, 258342.00, 258844.00)","(385.00, 390.00, 387.00)"
yarn.nodemanager.elastic-memory-control.oom-listener.path,"(361.00, 374.00, 371.00)","(246863.00, 249194.00, 269285.00)","(387.00, 388.00, 388.00)"
yarn.nodemanager.elastic-memory-control.timeout-sec,"(362.00, 378.00, 369.00)","(250248.00, 265753.00, 255382.00)","(370.00, 398.00, 404.00)"
yarn.node-attribute.fs-store.root-dir,"(358.00, 387.00, 359.00)","(252700.00, 253262.00, 257354.00)","(396.00, 385.00, 396.00)"
yarn.node-attribute.fs-store.impl.class,"(358.00, 384.00, 365.00)","(264586.00, 262435.00, 263958.00)","(402.00, 400.00, 382.00)"
yarn.nodemanager.csi-driver-adaptor.addresses,"(388.00, 368.00, 364.00)","(258345.00, 258556.00, 258505.00)","(405.00, 376.00, 389.00)"
yarn.nodemanager.csi-driver.names,"(367.00, 372.00, 376.00)","(268771.00, 260217.00, 263376.00)","(391.00, 386.00, 385.00)"
yarn.resourcemanager.activities-manager.cleanup-interval-ms,"(360.00, 365.00, 372.00)","(254617.00, 258573.00, 255844.00)","(394.00, 388.00, 383.00)"
yarn.resourcemanager.activities-manager.scheduler-activities.ttl-ms,"(363.00, 382.00, 380.00)","(246207.00, 264553.00, 249566.00)","(407.00, 387.00, 397.00)"
yarn.resourcemanager.activities-manager.app-activities.max-queue-length,"(378.00, 378.00, 375.00)","(267310.00, 263942.00, 252345.00)","(407.00, 375.00, 382.00)"
yarn.nodemanager.containers-launcher.class,"(367.00, 373.00, 372.00)","(260547.00, 256681.00, 258655.00)","(398.00, 391.00, 383.00)"
yarn.workflow-id.tag-prefix,"(358.00, 366.00, 368.00)","(255341.00, 259005.00, 258585.00)","(404.00, 389.00, 387.00)"
yarn.resourcemanager.application.max-tag.length,"(389.00, 371.00, 380.00)","(252557.00, 264407.00, 256365.00)","(393.00, 388.00, 392.00)"
yarn.nodemanager.runtime.linux.runc.layer-mounts-to-keep,"(260.00, 301.00, 394.00)","(221404.00, 282536.00, 274916.00)","(365.00, 394.00, 367.00)"
yarn.nodemanager.aux-services.manifest.enabled,"(261.00, 452.00)","(298814.00, 247176.00)","(324.00, 355.00)"
yarn.nodemanager.remote-app-log-dir-include-older,"(260.00, 297.00)","(267076.00, 264978.00)","(449.00, 363.00)"
yarn.sharedcache.nested-level,"(220.00, 247.00, 373.00)","(263076.00, 255162.00, 259813.00)","(431.00, 360.00, 400.00)"
yarn.client.application-client-protocol.poll-timeout-ms,"(259.00, 474.00, 354.00)","(234944.00, 247393.00, 271853.00)","(327.00, 345.00, 422.00)"
yarn.nodemanager.collector-service.thread-count,"(260.00, 350.00, 437.00)","(294964.00, 286545.00, 264450.00)","(397.00, 397.00, 390.00)"
yarn.nodemanager.localizer.cache.cleanup.interval-ms,"(260.00, 457.00, 478.00)","(273967.00, 246697.00, 269296.00)","(404.00, 379.00, 402.00)"
yarn.log-aggregation.retain-seconds,"(260.00, 390.00, 475.00)","(255779.00, 257367.00, 259761.00)","(393.00, 385.00, 392.00)"
yarn.nodemanager.resource.cpu-vcores,"(375.00, 374.00, 373.00)","(260767.00, 260165.00, 260733.00)","(387.00, 387.00, 388.00)"
yarn.timeline-service.app-aggregation-interval-secs,"(260.00, 396.00, 324.00)","(251771.00, 263088.00, 260290.00)","(457.00, 451.00, 404.00)"
yarn.node-labels.enabled,"(260.00, 440.00)","(300267.00, 237676.00)","(407.00, 393.00)"
yarn.nodemanager.node-labels.provider.fetch-timeout-ms,"(260.00, 422.00, 351.00)","(220715.00, 229573.00, 235627.00)","(387.00, 389.00, 388.00)"
yarn.resourcemanager.nm-container-queuing.max-queue-length,"(219.00, 237.00, 319.00)","(250022.00, 265310.00, 266580.00)","(379.00, 396.00, 395.00)"
yarn.resourcemanager.node-removal-untracked.timeout-ms,"(318.00, 359.00, 330.00)","(267794.00, 265418.00, 257182.00)","(389.00, 389.00, 387.00)"
yarn.nodemanager.container-monitor.enabled,"(260.00, 407.00)","(280383.00, 273974.00)","(390.00, 386.00)"
yarn.nodemanager.linux-container-executor.cgroups.mount,"(259.00, 316.00)","(246679.00, 254148.00)","(347.00, 372.00)"
yarn.nodemanager.node-labels.provider,"(260.00, 405.00, 344.00)","(300268.00, 224934.00, 259287.00)","(386.00, 388.00, 390.00)"
yarn.cluster.max-application-priority,"(260.00, 385.00, 318.00)","(253196.00, 255880.00, 261098.00)","(431.00, 357.00, 415.00)"
yarn.nodemanager.vmem-pmem-ratio,"(261.00, 450.00, 485.00)","(269984.00, 251742.00, 262116.00)","(422.00, 420.00, 421.00)"
yarn.nodemanager.resource.count-logical-processors-as-cores,"(261.00, 438.00)","(246381.00, 265341.00)","(316.00, 365.00)"
yarn.nodemanager.container-metrics.unregister-delay-ms,"(259.00, 278.00, 268.00)","(254438.00, 254490.00, 260156.00)","(347.00, 419.00, 420.00)"
yarn.timeline-service.client.internal-timers-ttl-secs,"(261.00, 375.00, 350.00)","(266332.00, 257592.00, 261686.00)","(342.00, 425.00, 380.00)"
yarn.resourcemanager.nm-container-queuing.max-queue-wait-time-ms,"(259.00, 428.00, 455.00)","(266256.00, 251693.00, 259340.00)","(398.00, 392.00, 390.00)"
yarn.nodemanager.linux-container-executor.cgroups.delete-timeout-ms,"(261.00, 393.00, 482.00)","(227952.00, 252437.00, 268433.00)","(412.00, 393.00, 404.00)"
yarn.nodemanager.sleep-delay-before-sigkill.ms,"(260.00, 476.00, 387.00)","(293780.00, 266676.00, 246797.00)","(431.00, 400.00, 377.00)"
yarn.resourcemanager.activities-manager.app-activities.ttl-ms,"(259.00, 381.00, 335.00)","(225076.00, 233921.00, 245785.00)","(437.00, 384.00, 394.00)"
yarn.timeline-service.generic-application-history.max-applications,"(260.00, 440.00, 357.00)","(250662.00, 263685.00, 253066.00)","(457.00, 349.00, 348.00)"
yarn.resourcemanager.application.max-tags,"(259.00, 275.00, 272.00)","(228968.00, 278328.00, 254255.00)","(342.00, 385.00, 364.00)"
yarn.nodemanager.runtime.linux.docker.default-ro-mounts,"(260.00, 383.00, 383.00)","(265769.00, 254775.00, 261873.00)","(420.00, 413.00, 369.00)"
yarn.nodemanager.runtime.linux.docker.default-rw-mounts,"(258.00, 406.00, 423.00)","(251925.00, 259253.00, 258212.00)","(420.00, 414.00, 374.00)"
yarn.nodemanager.resource.detect-hardware-capabilities,"(260.00, 466.00)","(268002.00, 253016.00)","(407.00, 371.00)"
yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb,"(381.00, 379.00, 371.00)","(247558.00, 248490.00, 251088.00)","(395.00, 393.00, 394.00)"
yarn.nodemanager.disk-health-checker.min-free-space-per-disk-watermark-high-mb,"(260.00, 265.00, 260.00)","(254005.00, 256268.00, 257201.00)","(431.00, 402.00, 410.00)"
yarn.resourcemanager.proxy.connection.timeout,"(257.00, 348.00, 286.00)","(265948.00, 251932.00, 259851.00)","(344.00, 412.00, 421.00)"
yarn.http.rmwebapp.custom.dao.classes,"(260.00, 383.00, 349.00)","(292467.00, 271639.00, 237007.00)","(462.00, 376.00, 408.00)"
yarn.timeline-service.client.retry-interval-ms,"(260.00, 378.00, 427.00)","(269789.00, 267209.00, 263018.00)","(342.00, 385.00, 433.00)"
yarn.nodemanager.resource.memory.enabled,"(261.00, 262.00)","(249582.00, 263216.00)","(321.00, 421.00)"
yarn.client.nodemanager-client-async.thread-pool-max-size,"(260.00, 275.00, 290.00)","(279756.00, 247749.00, 269358.00)","(418.00, 363.00, 381.00)"
yarn.nodemanager.recovery.compaction-interval-secs,"(261.00, 434.00, 332.00)","(296659.00, 275172.00, 293196.00)","(399.00, 398.00, 389.00)"
yarn.sharedcache.nm.uploader.thread-count,"(260.00, 468.00, 342.00)","(211764.00, 271731.00, 270927.00)","(370.00, 395.00, 378.00)"
yarn.nodemanager.node-labels.provider.fetch-interval-ms,"(259.00, 394.00, 333.00)","(241400.00, 262537.00, 275139.00)","(393.00, 388.00, 389.00)"
yarn.sharedcache.cleaner.period-mins,"(261.00, 300.00, 390.00)","(286992.00, 253805.00, 269328.00)","(375.00, 396.00, 375.00)"
yarn.log-aggregation-enable,"(261.00, 279.00)","(236338.00, 242227.00)","(407.00, 403.00)"
yarn.resourcemanager.work-preserving-recovery.scheduling-wait-ms,"(258.00, 312.00, 304.00)","(262364.00, 257885.00, 257298.00)","(392.00, 391.00, 385.00)"
yarn.timeline-service.ttl-ms,"(261.00, 480.00, 270.00)","(253635.00, 255842.00, 258548.00)","(366.00, 395.00, 390.00)"
yarn.sharedcache.store.in-memory.initial-delay-mins,"(260.00, 391.00, 311.00)","(308674.00, 219907.00, 247002.00)","(393.00, 387.00, 390.00)"
yarn.sharedcache.store.in-memory.check-period-mins,"(260.00, 467.00, 430.00)","(274638.00, 270733.00, 248349.00)","(383.00, 392.00, 393.00)"
yarn.client.application-client-protocol.poll-interval-ms,"(260.00, 418.00, 370.00)","(214401.00, 276889.00, 297003.00)","(343.00, 397.00, 428.00)"
yarn.resourcemanager.opportunistic-container-allocation.nodes-used,"(260.00, 276.00, 261.00)","(267928.00, 249628.00, 257331.00)","(370.00, 382.00, 381.00)"
yarn.nodemanager.log.deletion-threads-count,"(260.00, 302.00, 279.00)","(248181.00, 251155.00, 263167.00)","(414.00, 367.00, 385.00)"
yarn.nm.liveness-monitor.expiry-interval-ms,"(260.00, 454.00, 277.00)","(260251.00, 258631.00, 257878.00)","(397.00, 388.00, 384.00)"
yarn.resourcemanager.delegation-token.max-conf-size-bytes,"(260.00, 368.00, 405.00)","(256433.00, 256861.00, 258526.00)","(379.00, 396.00, 387.00)"
yarn.resourcemanager.nodemanagers.heartbeat-interval-speedup-factor,"(260.00, 318.00, 280.00)","(258584.00, 258574.00, 258583.00)","(379.00, 394.00, 385.00)"
yarn.resourcemanager.system-metrics-publisher.timeline-server-v1.enable-batch,"(259.00, 484.00)","(263228.00, 255268.00)","(409.00, 391.00)"
yarn.resourcemanager.delegation.key.update-interval,"(259.00, 261.00, 346.00)","(262570.00, 255069.00, 256059.00)","(402.00, 383.00, 389.00)"
yarn.resourcemanager.reservation-system.enable,"(260.00, 331.00)","(248560.00, 260802.00)","(380.00, 383.00)"
yarn.resourcemanager.reservation-system.planfollower.time-step,"(261.00, 425.00, 360.00)","(270908.00, 256471.00, 253821.00)","(406.00, 402.00, 386.00)"
yarn.nodemanager.resource.system-reserved-memory-mb,"(371.00, 371.00, 373.00)","(266366.00, 258901.00, 253502.00)","(381.00, 386.00, 382.00)"
yarn.nodemanager.container-log-monitor.enable,"(260.00, 405.00)","(231277.00, 244504.00)","(397.00, 380.00)"
yarn.nodemanager.container-log-monitor.dir-size-limit-bytes,"(260.00, 453.00, 390.00)","(302149.00, 250105.00, 236377.00)","(386.00, 389.00, 389.00)"
yarn.nodemanager.health-checker.timeout-ms,"(261.00, 280.00, 479.00)","(235733.00, 273408.00, 265430.00)","(375.00, 377.00, 383.00)"
yarn.nodemanager.disk-health-checker.min-healthy-disks,"(259.00, 488.00, 311.00)","(278625.00, 266554.00, 261487.00)","(420.00, 362.00, 402.00)"
yarn.nodemanager.disk-health-checker.disk-utilization-threshold.enabled,"(391.00, 380.00)","(251769.00, 264696.00)","(374.00, 382.00)"
yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage,"(261.00, 279.00, 380.00)","(228123.00, 234146.00, 241367.00)","(332.00, 361.00, 387.00)"
yarn.sharedcache.store.in-memory.staleness-period-mins,"(261.00, 481.00, 323.00)","(252131.00, 252861.00, 260265.00)","(404.00, 388.00, 402.00)"
yarn.nodemanager.resource-plugins.fpga.path-to-discovery-executables,"(261.00, 285.00, 445.00)","(249799.00, 267319.00, 251335.00)","(400.00, 389.00, 378.00)"
yarn.nodemanager.resource-percentage-physical-cpu-limit,"(374.00, 373.00, 373.00)","(260351.00, 257519.00, 259970.00)","(391.00, 387.00, 388.00)"
yarn.resourcemanager.maximum-allocation-mb,"(369.00, 372.00, 374.00)","(245979.00, 263385.00, 258801.00)","(407.00, 380.00, 379.00)"
yarn.resourcemanager.scheduler.monitor.refresh-interval-ms,"(373.00, 374.00, 374.00)","(256455.00, 259162.00, 260150.00)","(389.00, 389.00, 389.00)"
yarn.resourcemanager.resource-monitor.interval-ms,"(378.00, 372.00, 372.00)","(246425.00, 248108.00, 260576.00)","(407.00, 374.00, 400.00)"
yarn.resourcemanager.nodemanager-queue-length,"(366.00, 376.00, 372.00)","(256059.00, 260070.00, 260252.00)","(381.00, 390.00, 389.00)"
yarn.resourcemanager.container-monitor.interval-ms,"(366.00, 372.00, 368.00)","(259510.00, 259090.00, 257795.00)","(391.00, 387.00, 385.00)"
yarn.nodemanager.resource.memory.cgroups.enforcement-strategy,"(359.00, 366.00, 387.00)","(255250.00, 258551.00, 261173.00)","(386.00, 387.00, 389.00)"
