name,YCSB-100000-100000-workloadb,YCSB-1000-1000-workloada,YCSB-10000-10000-workloadc
hbase.procedure.master.classes,"(31525.28, 31073.13, 30739.39)","(1791.78, 1791.27, 1774.89)","(1925.31, 1838.94, 1846.46)"
hbase.coordinated.state.manager.class,"(32337.48, 30992.62, 30025.85)","(1696.73, 1708.59, 1830.69)","(1824.39, 1871.83, 1900.20)"
hbase.regionserver.storefile.refresh.period,"(0.00, 24447.81, 13903.56)","(0.00, 2118.62, 387.68)","(1856.70, 1877.90, 1879.40)"
hbase.region.replica.replication.enabled,"(30430.20, 31470.13)","(1485.88, 1809.24)","(1801.67, 1821.93)"
hbase.http.filter.initializers,"(32149.69, 31267.95, 31214.47)","(1769.46, 1774.10, 1780.22)","(1793.30, 1854.37, 1909.12)"
hbase.security.visibility.mutations.checkauths,"(32095.13, 31975.90)","(1779.28, 1779.24)","(1915.18, 1871.03)"
hbase.http.max.threads,"(0.00, 11979.15, 56296.56)","(1863.96, 1858.93, 1798.45)","(1832.05, 1902.79, 1874.81)"
hbase.replication.rpc.codec,"(30945.65, 30951.33, 30971.59)","(1743.76, 1781.27, 1743.78)","(1791.50, 1859.73, 1889.02)"
hbase.replication.source.maxthreads,"(30893.68, 30991.66, 31000.95)","(1750.10, 1793.67, 1773.07)","(1889.53, 1885.16, 1887.61)"
hbase.http.staticuser.user,"(30883.69, 31066.99, 31146.33)","(1723.19, 1773.38, 1728.85)","(1945.70, 1867.75, 1828.10)"
hbase.regionserver.handler.abort.on.error.percent,"(30878.66, 30918.29, 31030.46)","(1834.30, 1793.61, 1794.88)","(1792.84, 1851.15, 1922.30)"
hbase.mob.file.cache.size,"(31309.26, 31025.81, 31252.92)","(1844.07, 1816.25, 1808.34)","(1947.98, 1832.88, 1795.79)"
hbase.mob.cache.evict.period,"(31712.92, 31509.24, 31565.09)","(1794.59, 1792.44, 1777.41)","(1805.98, 1826.74, 1823.30)"
hbase.mob.cache.evict.remain.ratio,"(32397.91, 32268.07, 31541.50)","(1726.32, 1805.59, 1764.33)","(1863.55, 1865.23, 1867.75)"
hbase.master.mob.cleaner.period,"(29717.46, 31434.55, 30987.84)","(1693.09, 1852.91, 1787.69)","(1906.02, 1873.61, 1883.00)"
hbase.mob.major.compaction.region.batch.size,"(31382.72, 31365.93, 30653.37)","(1825.14, 1806.38, 1814.23)","(1885.99, 1877.44, 1863.73)"
hbase.mob.compaction.chore.period,"(30408.81, 31197.80, 30872.50)","(1740.51, 1773.31, 1793.83)","(1936.71, 1840.95, 1809.10)"
hbase.snapshot.master.timeout.millis,"(30927.96, 30930.95, 31054.39)","(1795.26, 1789.34, 1790.01)","(1851.27, 1869.24, 1869.13)"
hbase.snapshot.region.timeout,"(30923.26, 30932.15, 30985.92)","(1769.94, 1773.07, 1780.42)","(1852.13, 1853.54, 1870.47)"
hbase.rpc.rows.warning.threshold,"(31040.55, 31003.26, 31001.49)","(1780.85, 1779.25, 1778.41)","(1877.72, 1861.25, 1865.01)"
hbase.master.wait.on.service.seconds,"(29543.79, 30157.87, 32342.43)","(1694.92, 1731.36, 1836.53)","(1961.58, 1917.22, 1854.55)"
hbase.master.cleaner.snapshot.interval,"(31892.16, 31452.46, 30766.57)","(1772.62, 1781.83, 1779.30)","(1923.43, 1857.19, 1903.71)"
hbase.master.snapshot.ttl,"(31273.45, 31135.21, 31254.83)","(1852.12, 1803.25, 1776.98)","(1960.43, 1856.65, 1862.15)"
hbase.master.regions.recovery.check.interval,"(29594.72, 30109.75, 30081.99)","(1736.28, 1773.70, 1766.49)","(1956.93, 1839.68, 1843.62)"
hbase.regions.recovery.store.file.ref.count,"(29688.03, 32030.51, 31440.49)","(1719.13, 1774.30, 1743.40)","(1890.60, 1866.78, 1879.95)"
hbase.regionserver.slowlog.ringbuffer.size,"(32121.60, 30939.84, 30692.72)","(1718.79, 1815.15, 1761.78)","(1883.69, 1867.38, 1853.33)"
hbase.regionserver.slowlog.buffer.enabled,"(30974.90, 31002.90)","(1762.60, 1768.10)","(1875.95, 1870.92)"
hbase.regionserver.slowlog.systable.enabled,"(31162.95, 31137.72)","(1768.41, 1783.75)","(1872.07, 1869.24)"
hbase.rpc.rows.size.threshold.reject,"(29711.07, 30399.45)","(1779.52, 1779.11)","(1885.85, 1874.59)"
hbase.namedqueue.provider.classes,"(32357.36, 30898.83, 31736.99)","(1852.78, 1806.98, 1824.06)","(1777.71, 1816.98, 1850.44)"
hbase.master.balancer.decision.buffer.enabled,"(30737.32, 31127.20)","(1781.80, 1780.12)","(1875.98, 1870.66)"
hbase.master.balancer.rejection.buffer.enabled,"(31089.82, 30949.99)","(1851.22, 1735.29)","(1945.64, 1871.77)"
hbase.locality.inputstream.derive.enabled,"(29701.39, 29788.25)","(1754.27, 1768.79)","(1956.05, 1784.51)"
hbase.locality.inputstream.derive.cache.period,"(30772.06, 31243.98, 31200.32)","(1857.08, 1831.82, 1763.42)","(1843.02, 1847.02, 1849.39)"
